trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
497,False,"{'a': 0.01, 'e': 0.0069431480347461145}",25,8,29.220301210578285,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
498,False,"{'a': 0.01, 'e': 0.0068740625574962482}",25,5,30.709264865806414,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
499,False,"{'a': 0.01, 'e': 0.0068056644922305431}",30,16,19.887473352137864,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
500,False,"{'a': 0.01, 'e': 0.006737946999085467}",20,1,28.21539425713532,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
501,False,"{'a': 0.01, 'e': 0.0066709033062552735}",25,0,32.430194318084055,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
502,False,"{'a': 0.01, 'e': 0.0066045267093148051}",20,0,24.469892405122746,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
503,False,"{'a': 0.01, 'e': 0.0065388105705490637}",25,13,23.855543319964802,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
504,False,"{'a': 0.01, 'e': 0.0064737483182894049}",25,11,24.45942383379282,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
505,False,"{'a': 0.01, 'e': 0.0064093334462563831}",25,18,13.947279624016572,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
506,False,"{'a': 0.01, 'e': 0.0063455595129091099}",30,0,32.53080470867388,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
507,False,"{'a': 0.01, 'e': 0.0062824201408011177}",20,14,10.42243172098665,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
508,False,"{'a': 0.01, 'e': 0.0062199090159425728}",25,5,33.46126093937183,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
509,False,"{'a': 0.01, 'e': 0.0061580198871688972}",25,11,24.905101087235145,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
